STATION,County,LATITUDE,LONGITUDE,ELEVATION,DATE,SNOWsum,SNWDmax,PRCPsum,TMAXmax,TMAXmean,TMINmin,TMINmean,TAVGmean,AWNDmean,vpdmin (hPa)mean,vpdmax (hPa)mean,freezing_daysum
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-01-02,0.0,0.0,0.0,60.8,58.099999999999994,24.4,26.25,42.15,1.9,0.085,10.71,2
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-01-09,2.0,2.0,1.57,65.9,53.98571428571428,26.6,29.957142857142856,42.0,5.497142857142857,0.09428571428571428,7.564285714285715,6
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-01-16,7.5,4.0,0.9,72.6,50.75,23.2,31.3375,41.0375,6.375,0.44,6.07125,6
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-01-23,2.0,2.0,0.9800000000000001,83.0,57.6,16.0,39.17857142857143,48.392857142857146,5.431428571428571,0.6385714285714286,10.885714285714286,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-01-30,0.0,0.0,0.6200000000000001,89.1,60.1,17.2,40.114285714285714,50.114285714285714,5.782857142857142,0.545,11.71642857142857,6
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-02-06,7.0,5.0,1.52,90.7,63.26428571428572,15.1,42.792857142857144,53.021428571428565,5.240714285714286,0.7607142857142858,14.492142857142857,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-02-13,9.0,13.0,1.77,90.3,60.878571428571426,10.8,40.042857142857144,50.464285714285715,5.383571428571429,0.5957142857142858,13.389285714285714,6
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-02-20,2.0,11.0,1.61,85.1,56.44285714285714,9.5,35.971428571428575,46.207142857142856,4.601428571428571,0.4207142857142857,12.426428571428572,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-02-27,5.0,16.0,1.19,86.6,59.207142857142856,8.2,43.68571428571429,51.42857142857143,3.915,0.18857142857142858,9.975714285714286,6
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-03-05,2.0,8.0,1.06,85.4,54.278571428571425,-2.0,33.52142857142857,43.9,6.519285714285714,0.21214285714285716,8.392857142857142,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-03-12,0.0,6.0,2.07,86.2,51.66428571428571,-7.8,28.8,40.221428571428575,6.103571428571429,0.29857142857142854,9.754285714285714,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-03-19,0.0,2.0,0.03,85.6,54.15714285714286,-12.9,26.814285714285713,40.478571428571435,4.107857142857143,0.3085714285714286,12.23857142857143,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-03-26,9.0,9.0,1.09,87.3,49.68571428571429,-13.4,23.478571428571428,36.58571428571429,5.976428571428571,0.2671428571428572,9.83357142857143,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-04-02,0.0,6.0,3.5,78.9,52.221428571428575,-1.6,31.442857142857143,41.82142857142857,5.497857142857143,0.2928571428571428,7.610714285714286,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-04-09,5.5,1.0,0.44,82.3,57.31428571428571,3.1,34.32857142857143,45.81428571428571,6.471428571428571,0.3457142857142857,10.214285714285714,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-04-16,0.0,0.0,0.59,81.2,55.471428571428575,2.0,28.50714285714286,41.98571428571428,6.566428571428571,0.36642857142857144,9.453571428571427,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-04-23,0.0,0.0,1.69,68.4,48.621428571428574,5.1,22.514285714285712,35.56428571428571,7.557857142857143,0.38571428571428573,7.845714285714285,11
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-04-30,0.0,0.0,3.62,66.9,49.607142857142854,0.5,31.592857142857145,40.57857142857143,7.063571428571429,0.27,4.909999999999999,6
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-05-07,0.0,0.0,1.73,77.5,50.785714285714285,16.6,29.714285714285715,40.23571428571428,6.823571428571428,0.40785714285714286,7.6450000000000005,8
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-05-14,0.0,0.0,0.77,72.3,56.90714285714286,26.5,32.392857142857146,44.65714285714286,6.423571428571429,0.4928571428571429,9.462857142857143,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-05-21,0.0,0.0,0.9400000000000001,58.6,47.364285714285714,13.8,32.18571428571429,39.792857142857144,10.945714285714287,1.2907142857142857,6.142857142857143,5
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-05-28,0.0,0.0,1.52,53.2,45.93571428571429,18.4,26.478571428571428,36.214285714285715,6.36,0.6728571428571428,6.049285714285714,12
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-06-04,0.0,0.0,2.25,62.0,51.107142857142854,24.0,32.57857142857143,41.83571428571429,6.008571428571429,0.5235714285714286,7.446428571428571,6
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-06-11,0.0,0.0,2.02,66.8,52.464285714285715,22.5,32.32142857142857,42.378571428571426,7.031428571428571,0.6564285714285714,8.55,6
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-06-18,0.0,0.0,1.7100000000000002,62.6,52.35,26.3,33.457142857142856,42.9,7.7178571428571425,1.0164285714285715,8.166428571428572,6
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-06-25,1.0,1.0,1.28,70.8,55.771428571428565,24.2,33.635714285714286,44.707142857142856,6.902142857142858,0.8328571428571429,9.562142857142858,5
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-07-02,0.0,0.0,0.39,66.9,52.00714285714286,19.2,29.357142857142858,40.67857142857143,5.193571428571429,0.865,9.220714285714285,8
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-07-09,1.5,2.0,1.9900000000000002,88.6,60.42857142857143,9.0,35.93571428571429,48.18571428571429,6.326428571428571,0.40214285714285714,12.889285714285714,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-07-16,4.0,4.0,1.62,91.8,51.67857142857143,7.0,30.307142857142857,40.98571428571428,5.511428571428572,0.5878571428571429,10.06142857142857,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-07-23,2.0,4.0,1.41,86.0,50.89999999999999,-10.7,25.57857142857143,38.23571428571428,5.736428571428571,0.7492857142857143,10.801428571428572,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-07-30,6.0,6.0,2.23,79.8,49.15714285714286,-4.0,26.67142857142857,37.9,5.1292857142857144,0.305,7.748571428571429,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-08-06,6.0,9.0,5.23,81.5,55.59285714285714,-5.4,32.278571428571425,43.935714285714276,6.215714285714286,0.3057142857142857,10.444999999999999,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-08-13,0.0,7.0,1.05,83.1,56.357142857142854,14.8,36.48571428571429,46.40714285714286,6.438571428571429,0.6842857142857143,10.295,7
USC00270913,Merrimack,43.25886,-72.0021,248.4,2000-08-20,7.0,11.0,1.89,89.8,55.892857142857146,-9.6,31.164285714285715,43.528571428571425,4.299285714285714,0.49642857142857144,11.92357142857143,7
